source_id,source_name,author,title,description,url,url_to_image,published_at,content,top_article,engagement_reaction_count,engagement_comment_count,engagement_share_count,engagement_comment_plugin_count
the-irish-times,The Irish Times,The Irish Times,Tories lose working majority ahead of crunch Brexit vote,MP crosses floor to Lib Dems as rebels try to take control of parliament to block no-deal,https://www.irishtimes.com/							/news/world/uk/tories-lose-working-majority-ahead-of-crunch-brexit-vote-1.4006172	,https://www.irishtimes.com/image-creator/?id=1.4006613&origw=1440,2019-09-03T08:12:37Z,"Former Conservative MP Philip Lee has quit the party to join the Liberal Democrats.
In a moment of high-drama in the Commons, Dr Lee crossed the floor while British prime minister Boris Johnson was delivering a statement on the recent G7 summit.
It means th… [+6772 chars]",1.0,,,,
cbs-news,CBS News,CBS/AP,One suspect dead after Border Patrol agent shot at traffic stop,"Two agents pulled over a vehicle Friday evening near Brackettville when a person inside the vehicle fired on them, officials said",https://www.cbsnews.com/news/brackettville-texas-border-patrol-agent-shot-one-suspect-dead-2019-09-14/,https://cbsnews3.cbsistatic.com/hub/i/r/2018/06/12/392cd70a-0b44-4b8f-8d53-f66624c537d7/thumbnail/1200x630/d91d4f245327708390ae069273309db5/180612-twitter-us-border-patrol-generic.png,2019-09-15T00:12:53Z,"A Border Patrol agent has been shot and one suspect is dead following a traffic stop east of the border city of Del Rio. The agent was hospitalized with non-life-threatening injuries, U.S. Customs and Border Protection said in a statement. 
 CBP said that tw… [+616 chars]",0.0,462.0,296.0,116.0,0.0
cbs-news,CBS News,CBS News,9/26/19: CBSN Evening News,Acting Director of National Intelligence testifies; Former French Pres. Jacques Chirac dies.,https://www.cbsnews.com/video/92619-cbsn-evening-news/,https://cbsnews2.cbsistatic.com/hub/i/r/2019/09/27/7fed92af-22b2-490c-94b3-50f8e49fa490/thumbnail/1200x630/20c3e8dc534b77262c6777d5a95f94a7/0926-cbsn-full-1941536-640x360.jpg,2019-09-27T01:47:46Z,,0.0,0.0,0.0,0.0,0.0
the-irish-times,The Irish Times,Aoife McElwain,The food you eat on a date can reveal who you are,Ordering food on a first date can add an extra helping of nervousness to the encounter,https://www.irishtimes.com/							/life-and-style/food-and-drink/the-food-you-eat-on-a-date-can-reveal-who-you-are-1.4001113	,https://www.irishtimes.com/image-creator/?id=1.4001101&origw=1440,2019-09-09T05:00:00Z,"For some people, dating is an anxiety-riddled battleground. If you find yourself out on a dinner date, whether it is the first or subsequent date, the addition of food to the scenario can add another layer of nerves to the jelly-bellied.
There are obvious fo… [+2667 chars]",1.0,,,,
al-jazeera-english,Al Jazeera English,Al Jazeera,US judge: 'Terrorist' watchlist violates constitutional rights,"As of June 2017, approximately 1.16 million people, including 4,600 Americans, were included in the government database.",https://www.aljazeera.com/news/2019/09/judge-terrorist-watchlist-violates-constitutional-rights-190905020002782.html,https://www.aljazeera.com/mritems/Images/2019/9/5/eb8c10e026d94b7389482b7944297036_18.jpg,2019-09-05T03:48:56Z,"The United States government's watchlist of more than one million people identified as ""known or suspected terrorists"" violates the constitutional rights of those placed on it, a US federal judge ruled on Wednesday.
The ruling from District Judge Anthony Tre… [+3542 chars]",0.0,16.0,3.0,53.0,0.0
cnn,CNN,"AJ Willingham, CNN","Um, where did fall go? 162 heat records could be broken across the US this week",Fall is here! 'Tis the time for cozy sweaters and pumpkin spice and... record-breaking 90-plus degree weather across the country!,https://www.cnn.com/2019/10/01/us/weather-why-hot-fall-heat-trnd/index.html,https://cdn.cnn.com/cnnnext/dam/assets/140318160030-parini-vermont-religion-story-top.jpg,2019-10-01T14:35:15Z,,0.0,6.0,1.0,45.0,0.0
the-new-york-times,The New York Times,Chris Stanford,Your Monday Briefing,"Taliban, Google, N.F.L.: Here’s what you need to know.",https://www.nytimes.com/2019/09/09/briefing/taliban-google-nfl.html,https://static01.nyt.com/images/2019/09/09/world/09usbriefing-amcore/09usbriefing-amcore-facebookJumbo.jpg,2019-09-09T09:32:13Z,"The salty, dark paste is an acquired taste, often spread on buttered toast. Aficionados use it in everything even desserts.
Its popularity was underlined in 2016, when there was a run on stores during a brief tiff between Unilever and the supermarket chain T… [+1021 chars]",0.0,1.0,1.0,28.0,0.0
cbs-news,CBS News,CBS/AP,Los Angeles County bans flavored tobacco products,The county's Board of Supervisors is also urging California Gov. Gavin Newsom to pass a statewide ban on the products,https://www.cbsnews.com/news/vaping-bans-continue-los-angeles-county-bans-flavored-tobacco-products/,https://cbsnews3.cbsistatic.com/hub/i/r/2019/09/24/d76d09fc-d0b0-495e-8b7c-3fa330617ade/thumbnail/1200x630/b3191d994e24a65012d4e7f388d8ad54/rtx7385e.jpg,2019-10-02T13:00:53Z,"Los Angeles County on Tuesday banned flavored tobacco products including e-cigarettes, chewing tobacco and menthol cigarettes amid concerns that the products appeal to young people. The county's Board of Supervisors is also urging California Gov. Gavin Newsom… [+2476 chars]",0.0,115.0,138.0,18.0,0.0
the-new-york-times,The New York Times,Emma Goldberg,Where Do We Stand on the Exclamation Point?,Some people who have been told to avoid them are wondering. (The rest of us don’t care!),https://www.nytimes.com/2019/09/27/style/exclamation-points.html,https://static01.nyt.com/images/2019/09/27/fashion/27exclamationart/27exclamationart-facebookJumbo.jpg,2019-09-27T16:01:41Z,"The exclamation point is more than five centuries old, but it can easily be mistaken for the runt of the punctuation family. It wants your forgiveness and attention. It wants undying love, while youre at it. The mark is to grammar what a Red Sox fan is to bas… [+1839 chars]",0.0,87.0,115.0,103.0,0.0
the-new-york-times,The New York Times,Glenn Kenny,‘Corporate Animals’ Review: Trust Falls at the Center of the Earth,Demi Moore plays the unpleasant boss of unpleasant people trying to survive after a cave collapses on a company retreat.,https://www.nytimes.com/2019/09/19/movies/corporate-animals-review.html,https://static01.nyt.com/images/2019/09/19/arts/19corporateanimals/merlin_160735944_aced267b-5a9d-46b2-a708-e3b3cfccffd4-facebookJumbo.jpg,2019-09-19T12:46:28Z,"The film, directed by Patrick Brice from a script by Sam Bain, signals an idiosyncratic commitment to diversity by making Jess and Freddie, played by India-born Karan Soni, among the most venal and unpleasant of the venal and unpleasant group. (Oddly, they ar… [+735 chars]",0.0,0.0,0.0,8.0,0.0
